Customer_Req,System_Req,Component_Req,Test_Case,Verification_Method,Status
CR-01,SYS-REQ-01,CC-REQ-01,TC-001,Test,Open
CR-01,SYS-REQ-01,PK-REQ-03,TC-001,Test,Open
CR-01,SYS-REQ-02,CC-REQ-03,TC-002,Test,Open
CR-01,SYS-REQ-02,PK-REQ-02,TC-002,Test,Open
CR-01,SYS-REQ-03,ZC-REQ-04,TC-003,Test,Open
CR-01,SYS-REQ-03,SS-REQ-01,TC-003,Test,Open
CR-01,SYS-REQ-10,ZC-REQ-02,TC-004,Test,Open
CR-01,SYS-REQ-10,ZC-REQ-03,TC-004,Test,Open
CR-01,SYS-REQ-10,CC-REQ-04,TC-004,Test,Open
CR-01,SYS-REQ-11,ZC-REQ-04,TC-005,Inspection,Open
CR-02,SYS-REQ-04,CC-REQ-04,TC-006,Test,Open
CR-02,SYS-REQ-04,SS-REQ-02,TC-006,Test,Open
CR-03,SYS-REQ-05,ZC-REQ-05,TC-007,Demonstration,Open
CR-04,SYS-REQ-06,—,TC-008,Demonstration,Open
CR-04,SYS-REQ-07,—,TC-008,Demonstration,Open
CR-04,SYS-REQ-14,—,TC-009,Test,Open
CR-05,SYS-REQ-08,CC-REQ-02,TC-010,Test,Open
CR-05,SYS-REQ-08,CC-REQ-03,TC-010,Test,Open
CR-06,SYS-REQ-09,—,TC-011,Test,Open
